submission_id,question_id,male,white,answer
94567,6,0,1,0
94567,2,0,1,1
94567,7,0,0,0
94567,4,1,1,0
94568,3,0,0,0
94568,1,1,0,1
94568,6,0,1,0
94568,7,1,0,0
94568,4,1,1,0
94568,2,0,0,0
94568,5,1,0,1
94568,17,0,0,0
94569,1,0,1,1
94569,3,0,0,0
94569,6,1,1,0
94569,2,0,1,0
94569,4,1,1,0
94569,5,1,0,0
94569,7,0,0,0
94569,13,1,1,0
94569,22,0,0,0
94569,11,1,0,0
94569,18,0,0,0
94569,24,0,0,0
94569,21,0,1,0
94569,25,1,0,0
94569,9,1,1,0
94569,8,1,0,1
94569,14,1,0,0
94569,27,0,1,0
94569,16,0,0,0
94569,15,0,1,0
94569,23,1,0,0
94569,10,0,1,1
94569,20,0,1,0
94569,26,0,1,0
94569,17,1,0,0
94569,12,1,1,0
94569,19,1,1,0
94570,1,1,1,1
94570,4,1,0,0
94570,7,1,1,0
94570,5,1,1,0
94570,2,1,1,0
94570,6,0,1,0
94570,3,1,0,0
94570,15,0,0,0
94570,19,1,0,0
94570,25,0,0,0
94570,24,1,1,0
94570,8,1,1,0
94570,18,1,1,0
94570,12,0,0,0
94570,14,1,0,0
94570,20,0,1,0
94570,17,1,0,0
94570,23,0,0,0
94570,22,0,0,0
94570,11,0,1,0
94570,21,1,1,0
94570,9,0,1,0
94570,26,1,0,0
94570,10,1,0,0
94570,27,0,1,0
94570,16,0,1,0
94570,13,0,1,0
94571,4,1,1,0
94571,2,0,1,1
94571,3,1,0,0
94571,7,0,0,0
94571,5,1,1,1
94571,1,1,0,1
94571,6,1,0,0
94571,26,0,1,0
94571,9,0,0,1
94571,10,1,1,1
94571,23,1,0,0
94571,8,1,0,0
94571,18,0,0,0
94571,27,0,0,1
94571,15,1,1,0
94571,11,0,0,0
94571,20,0,1,0
94571,14,1,1,0
94571,17,1,1,0
94571,19,0,1,0
94571,21,1,0,1
94571,13,1,0,0
94571,12,0,1,0
94571,16,1,1,0
94571,25,1,1,0
94571,22,0,0,0
94571,24,0,0,0
94572,1,1,0,1
94572,4,0,0,0
94572,5,0,1,0
94572,6,1,0,0
94572,2,1,0,0
94572,3,1,1,0
94572,7,1,0,0
94572,12,0,0,0
94572,14,0,1,0
94572,17,0,1,0
94572,9,1,0,0
94572,15,1,1,0
94572,24,0,0,0
94572,11,1,0,0
94572,16,0,1,0
94572,19,1,1,0
94572,21,1,1,0
94572,22,1,0,0
94572,23,0,1,0
94572,10,0,1,0
94572,13,1,1,0
94572,26,0,1,0
94572,20,0,1,0
94572,18,1,1,0
94572,25,1,1,0
94572,27,0,0,0
94572,8,0,0,0
94573,6,1,1,0
94573,5,0,1,0
94573,7,1,1,0
94573,2,0,0,1
94573,3,1,0,1
94573,4,0,0,0
94573,1,0,1,1
94573,9,0,0,1
94573,17,1,0,0
94573,21,1,1,1
94573,8,0,0,1
94573,14,1,0,1
94573,23,1,0,0
94573,13,0,1,1
94573,10,0,0,1
94574,2,0,0,1
94574,6,1,1,0
94574,1,1,0,1
94574,7,1,0,0
94574,5,0,1,0
94574,3,0,0,0
94574,4,1,1,0
94574,11,0,0,0
94574,19,1,1,0
94574,21,0,1,0
94574,27,0,0,0
94574,26,0,0,0
94574,23,1,0,0
94574,16,1,1,0
94574,24,0,0,0
94574,22,0,0,0
94574,18,0,1,0
94574,9,0,1,1
94574,14,1,1,0
94574,8,0,1,0
94575,5,0,0,0
94575,1,0,0,1
94575,2,0,0,0
94575,4,1,1,0
94575,6,0,1,0
94575,3,1,1,0
94575,7,0,1,0
94575,12,1,0,0
94575,22,0,0,0
94575,19,0,1,0
94575,26,0,0,0
94575,20,0,1,0
94575,10,1,1,0
94575,11,1,1,0
94575,8,1,0,0
94575,23,0,0,0
94575,13,1,1,0
94575,16,1,0,0
94575,9,1,0,0
94575,14,0,0,0
94575,21,0,1,0
94575,18,1,0,0
94575,17,0,1,0
94575,15,1,1,0
94575,24,1,1,0
94575,27,1,0,0
94575,25,0,0,0
94576,7,1,0,0
94576,1,1,0,1
94576,2,0,0,0
94576,5,1,1,0
94576,3,0,0,0
94576,4,1,0,0
94576,6,0,1,0
94576,8,1,1,0
94576,20,0,0,0
94576,14,0,1,0
94576,11,1,0,0
94576,19,1,0,1
94576,23,0,1,0
94576,25,0,0,0
94576,12,0,1,0
94576,16,1,1,0
94576,15,1,0,0
94576,26,0,0,0
94576,24,0,1,0
94576,13,1,1,1
94576,17,0,1,0
94576,21,1,0,0
94576,10,0,1,0
94576,9,1,1,0
94576,27,1,0,0
94576,18,1,1,0
94576,22,1,1,0
94577,5,0,1,1
94577,2,0,0,1
94577,4,1,0,0
94577,1,1,1,1
94577,3,0,0,1
94577,6,1,1,0
94577,7,0,1,1
94577,16,0,0,1
94577,11,1,1,1
94577,9,1,0,1
94577,21,0,1,1
94577,19,1,1,1
94577,23,0,0,0
94577,25,0,0,1
94577,14,1,0,0
94577,20,0,0,1
94577,13,0,1,1
94577,12,1,0,0
94577,8,1,0,1
94577,27,1,1,1
94577,10,0,1,1
94577,24,0,1,1
94577,17,0,1,0
94577,18,0,0,1
94577,15,1,1,1
94577,22,1,1,0
94577,26,0,1,1
94578,5,0,1,1
94578,2,1,0,0
94578,4,1,1,0
94578,7,0,0,0
94578,1,0,0,1
94578,3,1,1,0
94578,6,0,1,0
94578,13,0,1,0
94578,14,1,0,0
94578,8,0,1,0
94578,12,1,1,0
94578,24,0,1,0
94578,11,1,1,0
94578,23,1,1,0
94578,21,0,0,0
94578,18,1,1,0
94578,17,0,0,0
94578,20,1,1,0
94578,27,1,0,0
94578,19,0,0,0
94578,10,1,0,0
94578,16,0,1,0
94578,15,1,0,0
94578,9,0,0,0
94578,26,0,0,0
94578,25,1,1,0
94578,22,0,1,0
94579,6,1,0,0
94579,7,1,0,0
94579,1,0,0,1
94579,4,1,1,0
94579,3,1,1,0
94579,2,1,1,1
94579,5,0,0,0
94579,16,0,1,1
94579,20,1,1,0
94579,15,0,1,1
94579,26,1,1,0
94579,9,1,1,1
94580,2,0,0,1
94580,3,0,1,1
94580,6,0,1,0
94580,4,0,0,0
94580,7,0,0,0
94580,1,0,0,1
94580,5,1,0,1
94581,6,1,0,1
94581,3,1,0,1
94581,2,1,1,1
94581,7,0,1,1
94581,1,1,0,1
94581,5,1,0,0
94581,4,1,0,0
94581,12,0,0,0
94581,25,1,1,1
94581,17,0,1,0
94581,26,1,0,1
94581,27,1,0,0
94581,21,0,0,1
94581,24,0,1,0
94581,22,0,0,0
94581,23,0,0,1
94581,8,0,0,1
94581,18,0,0,0
94581,13,0,1,0
94581,11,1,1,0
94581,14,1,1,0
94581,15,0,1,0
94581,10,0,1,1
94581,19,1,0,0
94581,20,1,0,0
94581,16,0,1,1
94581,9,0,0,1
94582,4,1,0,0
94582,3,0,0,0
94582,7,1,1,0
94582,6,1,0,0
94582,1,0,1,1
94582,2,0,1,0
94582,5,0,0,0
94583,4,0,0,0
94583,7,0,0,0
94583,1,0,1,1
94583,6,1,1,0
94583,3,0,0,0
94583,2,0,0,0
94583,5,1,1,1
94583,13,0,1,1
94583,18,1,1,0
94583,21,0,1,0
94583,23,0,0,0
94583,24,1,1,0
94583,25,1,1,0
94583,22,1,0,0
94583,11,0,1,0
94583,14,1,1,0
94583,20,1,1,0
94583,15,0,1,0
94583,10,1,0,0
94583,17,1,0,0
94583,8,1,0,1
94583,27,0,0,0
94583,26,1,0,0
94583,12,0,0,0
94583,19,0,1,0
94583,9,0,1,0
94583,16,0,1,0
94584,5,1,1,1
94584,6,0,0,0
94584,1,1,0,1
94584,3,0,0,0
94584,2,0,1,1
94584,7,0,0,0
94584,4,0,1,0
94584,10,0,1,1
94584,17,0,1,0
94584,8,1,0,1
94584,27,0,1,0
94584,9,0,1,1
94584,24,1,0,0
94584,18,0,1,0
94584,22,1,0,0
94584,19,1,0,0
94584,15,1,1,0
94584,26,1,0,0
94584,20,0,0,0
94584,12,1,1,0
94584,25,1,1,0
94584,21,0,0,1
94584,14,0,1,0
94584,11,0,0,0
94584,16,0,0,1
94584,23,0,1,0
94584,13,1,1,0
94585,5,0,0,0
94585,4,0,1,0
94585,3,1,1,0
94585,1,1,1,1
94585,7,1,0,0
94585,2,0,1,0
94585,6,1,1,0
94585,10,1,0,0
94585,24,1,1,0
94585,19,1,1,0
94585,25,1,0,0
94585,17,0,1,0
94585,26,0,0,0
94585,20,1,0,0
94585,23,1,1,0
94585,18,1,0,0
94585,12,0,0,0
94585,14,1,0,0
94585,27,1,1,0
94585,13,0,1,0
94585,22,1,1,0
94585,11,0,0,0
94585,15,0,1,0
94585,21,0,0,0
94585,16,0,1,0
94585,9,0,0,0
94585,8,1,0,1
94586,1,1,1,0
94586,3,1,1,0
94586,5,1,0,0
94586,6,0,0,0
94586,2,1,0,1
94586,4,1,0,0
94586,7,1,1,0
94587,6,1,1,1
94587,3,1,0,1
94587,7,1,1,1
94587,4,1,0,0
94587,5,1,0,1
94587,1,1,0,1
94587,2,0,0,1
94587,25,0,0,1
94587,10,0,0,1
94587,27,0,1,1
94587,9,0,0,1
94587,15,0,0,1
94587,23,1,1,1
94587,20,0,0,1
94587,21,1,1,1
94587,24,1,1,1
94587,11,1,1,1
94587,8,1,0,1
94587,13,1,1,1
94587,22,1,1,1
94587,18,1,1,1
94587,19,0,1,1
94587,17,0,0,0
94587,12,1,0,0
94587,16,0,0,1
94587,26,0,1,1
94587,14,0,1,1
94588,3,1,0,0
94588,4,0,1,0
94588,2,0,0,1
94588,7,1,0,0
